scene_id,acq_time_utc,lon,lat,bbox_w_m,bbox_h_m,length_class_m,confidence,aspect_ratio,wake_flag,range_km,detector,nir_snr,size_class,fill,width_m,n_px,n_years_at_cell,transient
20210812_194340_68_1058,2021-08-12T19:43:40.689537Z,-125.237862,48.824615,16.9,41.1,41.1,0.9688,2.43,0,3.186,B,20.72,>24m,0.5967,16.9,46,1,1
20240827_194346_64_2461,2024-08-27T19:43:46.643869Z,-125.269971,48.82546,11.5,26.3,26.3,0.9688,2.29,0,1.393,B,20.72,>24m,0.5951,11.5,20,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.319507,48.850104,12.0,15.0,15.0,0.9686,1.25,0,5.01,B,20.7,12-24m,0.8,12.0,16,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.222876,48.783168,18.4,40.6,40.6,0.9686,2.2,0,5.336,B,20.7,>24m,0.6372,18.4,53,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.323257,48.853452,27.5,50.8,50.8,0.9679,1.85,0,5.473,B,20.57,>24m,0.5418,27.5,84,1,1
20210824_181728_61_1067,2021-08-24T18:17:28.610209Z,-125.313527,48.854086,11.5,11.5,11.5,0.9677,1.0,0,5.135,B,20.54,0-12m,0.6823,11.5,10,1,1
20250825_193929_84_251f,2025-08-25T19:39:29.847462Z,-125.345306,48.844699,24.0,42.0,42.0,0.9672,1.75,0,5.977,B,20.48,>24m,0.7411,24.0,83,1,1
20250825_193929_84_251f,2025-08-25T19:39:29.847462Z,-125.219009,48.828156,73.9,105.1,105.1,0.9672,1.42,0,4.621,B,20.48,>24m,0.577,73.9,498,1,1
20230719_182055_22_2449,2023-07-19T18:20:55.227898Z,-125.327207,48.804715,12.0,15.0,15.0,0.9671,1.25,0,3.746,B,20.46,12-24m,0.85,12.0,17,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.232935,48.821098,21.0,21.0,21.0,0.967,1.0,0,3.417,B,20.45,12-24m,0.7347,21.0,36,1,1
20210812_194340_68_1058,2021-08-12T19:43:40.689537Z,-125.22008,48.834106,9.0,12.0,12.0,0.9671,1.33,0,4.813,B,20.45,12-24m,1.0,9.0,12,1,1
20240827_194346_64_2461,2024-08-27T19:43:46.643869Z,-125.274345,48.82984,4.3,9.7,9.7,0.9666,2.24,0,1.763,B,20.38,0-12m,0.6406,4.3,3,1,1
20210601_191849_05_2412,2021-06-01T19:18:49.050614Z,-125.338224,48.848716,43.2,64.2,64.2,0.9659,1.49,0,5.84,B,20.27,>24m,0.6681,43.2,206,1,1
20210812_194340_68_1058,2021-08-12T19:43:40.689537Z,-125.342263,48.851158,23.7,62.6,62.6,0.9658,2.64,1,6.242,B,20.26,>24m,0.5107,23.7,84,1,1
20230714_182421_54_24b6,2023-07-14T18:24:21.547996Z,-125.302005,48.855179,11.5,11.5,11.5,0.9656,1.0,0,4.879,B,20.23,0-12m,0.7505,11.5,11,1,1
20240827_194346_64_2461,2024-08-27T19:43:46.643869Z,-125.30928,48.78863,12.0,15.0,15.0,0.9656,1.25,0,3.643,B,20.23,12-24m,0.75,12.0,15,1,1
20240827_194346_64_2461,2024-08-27T19:43:46.643869Z,-125.278291,48.826953,12.0,18.0,18.0,0.9647,1.5,0,1.418,B,20.09,12-24m,0.9167,12.0,22,1,1
20210601_191849_05_2412,2021-06-01T19:18:49.050614Z,-125.242092,48.824599,56.5,96.6,96.6,0.9643,1.71,0,2.898,B,20.04,>24m,0.4944,56.5,300,1,1
20240713_184228_20_2415,2024-07-13T18:42:28.200124Z,-125.340289,48.848102,13.6,17.8,17.8,0.9643,1.31,0,5.911,B,20.04,12-24m,0.7411,13.6,20,1,1
