scene_id,acq_time_utc,lon,lat,bbox_w_m,bbox_h_m,length_class_m,confidence,aspect_ratio,wake_flag,range_km,detector,nir_snr,size_class,fill,width_m,n_px,n_years_at_cell,transient
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.211675,48.838653,5.1,9.4,9.4,0.5654,1.83,0,5.596,B,6.41,0-12m,0.7507,5.1,4,2,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.21173,48.838517,3.0,9.0,9.0,0.603,3.0,1,5.585,B,6.98,0-12m,1.0,3.0,3,2,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.272799,48.837234,3.0,6.0,6.0,0.6365,2.0,0,2.593,B,7.52,0-12m,1.0,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.257457,48.837482,4.9,18.2,18.2,0.6749,3.71,1,3.007,B,8.2,12-24m,0.6065,4.9,6,2,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.272836,48.837139,3.0,9.0,9.0,0.6381,3.0,1,2.582,B,7.55,0-12m,1.0,3.0,3,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.211821,48.838273,5.1,9.4,9.4,0.598,1.83,0,5.566,B,6.9,0-12m,0.7507,5.1,4,2,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.272873,48.837044,3.0,6.0,6.0,0.5845,2.0,0,2.571,B,6.69,0-12m,1.0,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.272946,48.836854,3.0,6.0,6.0,0.5493,2.0,0,2.549,B,6.17,0-12m,1.0,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.342871,48.835291,3.0,6.0,6.0,0.616,2.0,0,5.291,B,7.19,0-12m,1.0,3.0,2,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.212065,48.837677,5.8,22.0,22.0,0.7035,3.76,1,5.518,B,8.74,12-24m,0.6306,5.8,9,2,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.343125,48.834598,3.0,9.0,9.0,0.6272,3.0,1,5.274,B,7.37,0-12m,1.0,3.0,3,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.212282,48.83713,3.0,9.0,9.0,0.7675,3.0,1,5.476,B,10.14,0-12m,1.0,3.0,3,3,0
